"","Child_ID","item_definition","value","Timepoint","Linguistic_var"
"1","1414","I","0.35547808786195927988060816",2,"SEMANTIC"
"2","1414","TV","0.07268547170121238132356467",2,"SEMANTIC"
"3","1414","a","0.00000000000000000000000000",2,"SEMANTIC"
"4","1414","about","0.02698509082441714543310063",2,"SEMANTIC"
"5","1414","above","0.04491196390346722383535294",2,"SEMANTIC"
"6","1414","after","0.03011887811415414617499664",2,"SEMANTIC"
"7","1414","airplane","0.38924380019457804902316411",2,"SEMANTIC"
"8","1414","all","0.09042296678150869848611393",2,"SEMANTIC"
"9","1414","alligator","0.65089350201132045725671560",2,"SEMANTIC"
"10","1414","am","0.05760394879453954730674781",2,"SEMANTIC"
"11","1414","an","0.00066995034000928482733478",2,"SEMANTIC"
"12","1414","and","0.00000000000000000000000000",2,"SEMANTIC"
"13","1414","animal","0.49050028450557953130228839",2,"SEMANTIC"
"14","1414","ankle","0.25659231107456420550860798",2,"SEMANTIC"
"15","1414","another","0.13569321683226537311739435",2,"SEMANTIC"
"16","1414","ant","0.62812712493830247240111930",2,"SEMANTIC"
"17","1414","any","0.04073007018864168576888218",2,"SEMANTIC"
"18","1414","apple","0.79480233921866272339684656",2,"SEMANTIC"
"19","1414","applesauce","0.80612439161949478449997741",2,"SEMANTIC"
"20","1414","are","0.01639996253304951134843748",2,"SEMANTIC"
"21","1414","arm","0.32692114871286565014329994",2,"SEMANTIC"
"22","1414","around","0.14139514302081962471291376",2,"SEMANTIC"
"23","1414","asleep","0.47533535125828879630560664",2,"SEMANTIC"
"24","1414","at","0.01305694958444950787290750",2,"SEMANTIC"
"25","1414","aunt","0.49135572368121416264585832",2,"SEMANTIC"
"26","1414","awake","0.40070821694293884407400697",2,"SEMANTIC"
"27","1414","away","0.30344313948734680241869910",2,"SEMANTIC"
"28","1414","baby","0.94789534620832260891631904",2,"SEMANTIC"
"29","1414","babysitter","0.55825558876485525949817657",2,"SEMANTIC"
"30","1414","back","0.34405742233804265106655862",2,"SEMANTIC"
"31","1414","backyard","0.62683925350132396747682151",2,"SEMANTIC"
"32","1414","bad","0.23682987895701074210208503",2,"SEMANTIC"
"33","1414","ball","0.34904615389401710823236158",2,"SEMANTIC"
"34","1414","balloon","0.57064082689357720212797176",2,"SEMANTIC"
"35","1414","banana","0.79660079217154355912811070",2,"SEMANTIC"
"36","1414","basement","0.31628733939995989921101227",2,"SEMANTIC"
"37","1414","basket","0.38850849363251793722184857",2,"SEMANTIC"
"38","1414","bat","0.51387276229554479378691667",2,"SEMANTIC"
"39","1414","bath","0.72244578345019960785577950",2,"SEMANTIC"
"40","1414","bathroom","0.70970370437516805406374942",2,"SEMANTIC"
"41","1414","bathtub","0.65920580167033437923862493",2,"SEMANTIC"
"42","1414","be","0.01214946150732190179033498",2,"SEMANTIC"
"43","1414","beach","0.40960793600673328640482396",2,"SEMANTIC"
"44","1414","beads","0.72606899405556013515905533",2,"SEMANTIC"
"45","1414","beans","0.58576945098205612794117769",2,"SEMANTIC"
"46","1414","bear","0.28892355910556921649856577",2,"SEMANTIC"
"47","1414","because","0.05811322268769418541989324",2,"SEMANTIC"
"48","1414","bed","0.72385095723965287017875880",2,"SEMANTIC"
"49","1414","bedroom","0.41896962832410583610354138",2,"SEMANTIC"
"50","1414","bee","0.51435248771113439847368909",2,"SEMANTIC"
"51","1414","before","0.03843351832741764145806584",2,"SEMANTIC"
"52","1414","behind","0.06459475813525114573643293",2,"SEMANTIC"
"53","1414","belt","0.31372873736093165319971376",2,"SEMANTIC"
"54","1414","bench","0.11450927689328788128264591",2,"SEMANTIC"
"55","1414","beside","0.36748468847270432391383110",2,"SEMANTIC"
"56","1414","better","0.08303717739723491531034227",2,"SEMANTIC"
"57","1414","bib","0.49813060046588109042176029",2,"SEMANTIC"
"58","1414","bicycle","0.58981548885947931992745907",2,"SEMANTIC"
"59","1414","big","0.28459110342298321594256549",2,"SEMANTIC"
"60","1414","bird","0.46676811868401035798825660",2,"SEMANTIC"
"61","1414","bite","0.67596537505634624043437952",2,"SEMANTIC"
"62","1414","black","0.26370961197965980815638432",2,"SEMANTIC"
"63","1414","blanket","0.58962564579633192085594828",2,"SEMANTIC"
"64","1414","block","0.06238446975988091308673589",2,"SEMANTIC"
"65","1414","blow","0.06648387027436093721366461",2,"SEMANTIC"
"66","1414","blue","0.42053387532722213970615144",2,"SEMANTIC"
"67","1414","boat","0.21631726124746800121734225",2,"SEMANTIC"
"68","1414","book","0.09479566637522164607165820",2,"SEMANTIC"
"69","1414","boots","0.33409306871099891944609794",2,"SEMANTIC"
"70","1414","bottle","0.81927564917115258680269108",2,"SEMANTIC"
"71","1414","bowl","0.50567055663937698906096330",2,"SEMANTIC"
"72","1414","box","0.36426779966881694949876191",2,"SEMANTIC"
"73","1414","boy","0.58025292736558287121084732",2,"SEMANTIC"
"74","1414","bread","0.59273305686201083197772732",2,"SEMANTIC"
"75","1414","breaks","0.00000000000000000000000000",2,"SEMANTIC"
"76","1414","breakfast","0.60700583025222010213894919",2,"SEMANTIC"
"77","1414","bring","0.07386852828374422530455234",2,"SEMANTIC"
"78","1414","broken","0.08798836660359223016403263",2,"SEMANTIC"
"79","1414","broom","0.81930707737934682644009854",2,"SEMANTIC"
"80","1414","brother","0.20597867167082406503197944",2,"SEMANTIC"
"81","1414","brown","0.93298985682826440779535915",2,"SEMANTIC"
"82","1414","brush","0.49666542121797846442987634",2,"SEMANTIC"
"83","1414","bubbles","0.40657365175936011070234599",2,"SEMANTIC"
"84","1414","bucket","0.83320302508819932274519715",2,"SEMANTIC"
"85","1414","bug","0.36890656247254338673258189",2,"SEMANTIC"
"86","1414","build","0.02760626160346047949789572",2,"SEMANTIC"
"87","1414","bump","0.29256334934718225548877513",2,"SEMANTIC"
"88","1414","bunny","0.96808449675768193376512727",2,"SEMANTIC"
"89","1414","bus","0.17175429370485509328325691",2,"SEMANTIC"
"90","1414","but","0.11296733596439401114963630",2,"SEMANTIC"
"91","1414","butter","0.55159626522406979276524908",2,"SEMANTIC"
"92","1414","butterfly","0.35808669529493974970080217",2,"SEMANTIC"
"93","1414","buttocks","0.47682818052008396625396358",2,"SEMANTIC"
"94","1414","button","0.33999981433013337639437168",2,"SEMANTIC"
"95","1414","buy","0.10252188973693251994312448",2,"SEMANTIC"
"96","1414","by","0.00330253478513438999270013",2,"SEMANTIC"
"97","1414","bye","0.11405613118865291777392912",2,"SEMANTIC"
"98","1414","cake","0.85541312664496160778071498",2,"SEMANTIC"
"99","1414","call","0.04895592706477084471439198",2,"SEMANTIC"
"100","1414","camera","0.31805737086274826763698798",2,"SEMANTIC"
"101","1414","camping","0.25993026529618534770094129",2,"SEMANTIC"
"102","1414","can","0.05340260052784279870552453",2,"SEMANTIC"
"103","1414","candy","0.86925222752078279420118179",2,"SEMANTIC"
"104","1414","car","0.39702137529134329252400448",2,"SEMANTIC"
"105","1414","careful","0.12209065057149430522098754",2,"SEMANTIC"
"106","1414","carrots","0.72112793797394081352081230",2,"SEMANTIC"
"107","1414","carry","0.05346677418871625259155778",2,"SEMANTIC"
"108","1414","cat","0.93435421788942607523864581",2,"SEMANTIC"
"109","1414","catch","0.26266679164136613744418014",2,"SEMANTIC"
"110","1414","cereal","0.71202626986319317303752996",2,"SEMANTIC"
"111","1414","chair","0.19678504120024745138728406",2,"SEMANTIC"
"112","1414","chalk","0.38582772989242536398890593",2,"SEMANTIC"
"113","1414","chase","0.15726876339861486919780020",2,"SEMANTIC"
"114","1414","cheek","0.45695456001393724987380551",2,"SEMANTIC"
"115","1414","cheerios","1.00000000000000000000000000",2,"SEMANTIC"
"116","1414","cheese","0.62410552282776743382441964",2,"SEMANTIC"
"117","1414","chicken","0.68315524971295527034698125",2,"SEMANTIC"
"118","1414","child","0.58769339419842314686803775",2,"SEMANTIC"
"119","1414","chin","0.60848056550977214218534073",2,"SEMANTIC"
"120","1414","chocolate","0.90187478465915105196870627",2,"SEMANTIC"
"121","1414","church","0.17432738191880714495596294",2,"SEMANTIC"
"122","1414","circus","0.19347945776022440478314479",2,"SEMANTIC"
"123","1414","clap","0.43532244786918039558543114",2,"SEMANTIC"
