"","Child_ID","item_definition","value","Timepoint","Linguistic_var"
"1","1414","I","0.38674796534565897276891633",1,"SEMANTIC"
"2","1414","TV","0.09340003559278081679551065",1,"SEMANTIC"
"3","1414","a","0.00000000000000000000000000",1,"SEMANTIC"
"4","1414","about","0.08592771085173124545608658",1,"SEMANTIC"
"5","1414","above","0.03587903474434394474057441",1,"SEMANTIC"
"6","1414","after","0.00849282405857049692288196",1,"SEMANTIC"
"7","1414","airplane","0.40302712113490474221677573",1,"SEMANTIC"
"8","1414","all","0.11684701202121350327445271",1,"SEMANTIC"
"9","1414","alligator","0.69788535715298571915354842",1,"SEMANTIC"
"10","1414","am","0.09014173445666028017253524",1,"SEMANTIC"
"11","1414","an","0.00172421084437114451037854",1,"SEMANTIC"
"12","1414","and","0.00000000000000000000000000",1,"SEMANTIC"
"13","1414","animal","0.56040811521101163705793624",1,"SEMANTIC"
"14","1414","ankle","0.28919315355575786474773281",1,"SEMANTIC"
"15","1414","another","0.15378490867826380417149323",1,"SEMANTIC"
"16","1414","ant","0.54582286913179400844597922",1,"SEMANTIC"
"17","1414","any","0.04570603303430399722007138",1,"SEMANTIC"
"18","1414","apple","0.84647040994729205731772481",1,"SEMANTIC"
"19","1414","applesauce","0.81865257095448384916380746",1,"SEMANTIC"
"20","1414","are","0.02981372673949748974830953",1,"SEMANTIC"
"21","1414","arm","0.35371215450240028888018173",1,"SEMANTIC"
"22","1414","around","0.09424219137105720178748669",1,"SEMANTIC"
"23","1414","asleep","0.48872374274199786858829953",1,"SEMANTIC"
"24","1414","at","0.00760135568896924337933818",1,"SEMANTIC"
"25","1414","aunt","0.49525473908483375051758912",1,"SEMANTIC"
"26","1414","awake","0.35678707386211211405324661",1,"SEMANTIC"
"27","1414","away","0.30933640098136400142792013",1,"SEMANTIC"
"28","1414","baby","0.94477231181228105150182728",1,"SEMANTIC"
"29","1414","babysitter","0.66452654167761160408645082",1,"SEMANTIC"
"30","1414","back","0.33064589727036680644189914",1,"SEMANTIC"
"31","1414","backyard","0.57826958361297331467909544",1,"SEMANTIC"
"32","1414","bad","0.21049682147435974655103053",1,"SEMANTIC"
"33","1414","ball","0.35817620308978298515611982",1,"SEMANTIC"
"34","1414","balloon","0.54735732382686230756974055",1,"SEMANTIC"
"35","1414","banana","0.84845667947099612238304189",1,"SEMANTIC"
"36","1414","basement","0.28200725678911442440011115",1,"SEMANTIC"
"37","1414","basket","0.48014084707168402932353501",1,"SEMANTIC"
"38","1414","bat","0.52674361172119243956757373",1,"SEMANTIC"
"39","1414","bath","0.77134577207461896275475510",1,"SEMANTIC"
"40","1414","bathroom","0.75708313501529322930849730",1,"SEMANTIC"
"41","1414","bathtub","0.75810642429716890156043974",1,"SEMANTIC"
"42","1414","be","0.03699360858314169192562204",1,"SEMANTIC"
"43","1414","beach","0.38889641366463850724599638",1,"SEMANTIC"
"44","1414","beads","0.79063502507519334283614398",1,"SEMANTIC"
"45","1414","beans","0.69689644033333431050181161",1,"SEMANTIC"
"46","1414","bear","0.26846291836491131821418321",1,"SEMANTIC"
"47","1414","because","0.07568906447189203967607085",1,"SEMANTIC"
"48","1414","bed","0.71442777327774076301381001",1,"SEMANTIC"
"49","1414","bedroom","0.46425594418524712692075695",1,"SEMANTIC"
"50","1414","bee","0.50604535129577676855205937",1,"SEMANTIC"
"51","1414","before","0.06730645623536431199074315",1,"SEMANTIC"
"52","1414","behind","0.03217051982101508389444433",1,"SEMANTIC"
"53","1414","belt","0.36657992280426121567415976",1,"SEMANTIC"
"54","1414","bench","0.08418774206401286042122933",1,"SEMANTIC"
"55","1414","beside","0.37197689042013992732904626",1,"SEMANTIC"
"56","1414","better","0.05948884515194912542268568",1,"SEMANTIC"
"57","1414","bib","0.49745439787322914826361853",1,"SEMANTIC"
"58","1414","bicycle","0.58689966245460079008466892",1,"SEMANTIC"
"59","1414","big","0.24470323809600677544828784",1,"SEMANTIC"
"60","1414","bird","0.40018094229159750785385086",1,"SEMANTIC"
"61","1414","bite","0.66880061123664469313609970",1,"SEMANTIC"
"62","1414","black","0.29651067393779578784673845",1,"SEMANTIC"
"63","1414","blanket","0.56233572586320657027414427",1,"SEMANTIC"
"64","1414","block","0.00678040085251931448628859",1,"SEMANTIC"
"65","1414","blow","0.04910791570229041530515346",1,"SEMANTIC"
"66","1414","blue","0.41620324404819725172544054",1,"SEMANTIC"
"67","1414","boat","0.25292317339520897778726294",1,"SEMANTIC"
"68","1414","book","0.05886136412719408794735898",1,"SEMANTIC"
"69","1414","boots","0.41332696204128888117779184",1,"SEMANTIC"
